uint32	uint8	uint32	uint32	uint32	uint32	uint32	uint32	uint32	uint32	uint32
10104	6	5	1507	1511	8	0	2449	20111	210	3
10104	6	6	1309	1511	8	0	1462	20131	173	3
10104	6	6	1311	1311	8	0	1556	20131	210	3
10104	7	1	1609	1631	8	0	3154	20141	210	3
10104	7	1	1210	1521	8	0	945	20141	210	3
10104	7	2	1409	1431	8	0	2026	20111	210	3
10104	7	2	1311	1311	8	0	1556	20131	210	3
10104	7	3	1502	1521	8	0	2214	20141	105	3
10104	7	3	1209	1221	8	0	898	20141	210	3
10104	7	4	1403	1431	8	0	1744	20131	105	3
10104	7	4	1107	1611	8	0	287	20131	210	3
10104	7	5	1305	1311	8	0	1274	20131	105	3
10104	7	5	1509	1511	8	0	2543	20131	210	3
10104	7	6	1403	1431	8	0	1744	20131	105	3
10104	7	6	1609	1631	8	0	3154	20141	210	3
10104	7	7	1301	1221	8	0	1086	20141	105	3
10104	7	7	1509	1511	8	0	2543	20131	210	3
10104	7	8	1404	1431	8	0	1791	20121	105	3
10104	7	8	1609	1631	8	0	3154	20141	210	3
10104	7	9	1411	1631	8	0	2120	20141	173	3
10104	7	9	1210	1521	8	0	945	20141	210	3
10104	7	10	1610	1631	8	0	3201	20141	173	3
10104	7	10	1109	1611	8	0	381	20131	210	3
10104	7	11	1111	1431	8	0	475	20111	173	3
10104	7	11	1509	1511	8	0	2543	20131	210	3
10104	7	12	1111	1431	8	0	475	20111	173	3
10104	7	12	1210	1521	8	0	945	20141	210	3
10104	7	13	1611	1611	8	0	3248	20121	173	3
10104	7	13	1507	1511	8	0	2449	20111	210	3
10104	7	14	1202	1311	8	0	569	20111	173	3
10104	7	14	1311	1311	8	0	1556	20131	210	3
10104	7	15	1212	1521	8	0	1039	20141	173	3
10104	7	15	1507	1511	8	0	2449	20111	210	3
10104	7	16	1610	1631	8	0	3201	20141	173	3
10104	7	16	1208	1211	8	0	851	20141	210	3
10104	7	17	1111	1431	8	0	475	20111	173	3
10104	7	17	1607	1611	8	0	3060	20111	210	3
10104	7	18	1510	1511	8	0	2590	20131	173	3
10104	7	18	1109	1611	8	0	381	20131	210	3
10104	7	19	1411	1631	8	0	2120	20141	173	3
10104	7	19	1410	1431	8	0	2073	20111	210	3
10104	7	20	1402	1611	8	0	1697	20111	173	3
10104	7	20	1209	1221	8	0	898	20141	210	3
10105	1	1	1507	1511	11	0	6766	21111	350	3
10105	1	1	1208	1211	11	0	6732	21141	350	3
10105	1	2	1208	1211	11	0	6732	21141	350	3
10105	1	2	1308	1311	11	0	6744	21111	350	3
10105	1	3	1207	1511	11	0	6731	21111	175	3
10105	1	3	1507	1511	11	0	6766	21111	350	3
10105	1	4	1312	1221	11	0	6748	21141	288	3
10105	1	4	1507	1511	11	0	6766	21111	350	3
10105	1	5	1502	1521	11	0	6761	21141	175	3
10105	1	5	1509	1511	11	0	6768	21131	350	3
10105	1	6	1211	1511	11	0	6735	21111	288	3
10105	1	6	1509	1511	11	0	6768	21131	350	3
10105	2	1	1609	1631	11	0	6781	21141	350	3
10105	2	1	1607	1611	11	0	6779	21111	350	3
10105	2	2	1607	1611	11	0	6779	21111	350	3
10105	2	2	1609	1631	11	0	6781	21141	350	3
10105	2	3	1104	1611	11	0	6717	21131	175	3
10105	2	3	1107	1611	11	0	6720	21131	350	3
10105	2	4	1402	1611	11	0	6750	21111	288	3
10105	2	4	1409	1431	11	0	6757	21111	350	3
10105	2	5	1103	1631	11	0	6716	21141	175	3
10105	2	5	1107	1611	11	0	6720	21131	350	3
10105	2	6	1602	1611	11	0	6774	21121	288	3
10105	2	6	1609	1631	11	0	6781	21141	350	3
10105	3	1	1409	1431	11	0	6757	21111	350	3
10105	3	1	1609	1631	11	0	6781	21141	350	3
10105	3	2	1409	1431	11	0	6757	21111	350	3
10105	3	2	1607	1611	11	0	6779	21111	350	3
10105	3	3	1404	1431	11	0	6752	21121	175	3
10105	3	3	1109	1611	11	0	6722	21131	350	3
10105	3	4	1611	1611	11	0	6783	21121	288	3
10105	3	4	1107	1611	11	0	6720	21131	350	3
10105	3	5	1403	1431	11	0	6751	21131	175	3
10105	3	5	1607	1611	11	0	6779	21111	350	3
10105	3	6	1401	1431	11	0	6749	21121	288	3
10105	3	6	1109	1611	11	0	6722	21131	350	3
10105	4	1	1209	1221	11	0	6733	21141	350	3
10105	4	1	1507	1511	11	0	6766	21111	350	3
10105	4	2	1209	1221	11	0	6733	21141	350	3
10105	4	2	1308	1311	11	0	6744	21111	350	3
10105	4	3	1502	1521	11	0	6761	21141	175	3
10105	4	3	1507	1511	11	0	6766	21111	350	3
10105	4	4	1212	1521	11	0	6736	21141	288	3
10105	4	4	1308	1311	11	0	6744	21111	350	3
10105	4	5	1301	1221	11	0	6737	21141	175	3
10105	4	5	1507	1511	11	0	6766	21111	350	3
10105	4	6	1511	1511	11	0	6770	21121	288	3
10105	4	6	1308	1311	11	0	6744	21111	350	3
10105	5	1	1607	1611	11	0	6779	21111	350	3
10105	5	1	1107	1611	11	0	6720	21131	350	3
10105	5	2	1409	1431	11	0	6757	21111	350	3
10105	5	2	1607	1611	11	0	6779	21111	350	3
10105	5	3	1103	1631	11	0	6716	21141	175	3
10105	5	3	1609	1631	11	0	6781	21141	350	3
10105	5	4	1602	1611	11	0	6774	21121	288	3
10105	5	4	1107	1611	11	0	6720	21131	350	3
10105	5	5	1104	1611	11	0	6717	21131	175	3
10105	5	5	1607	1611	11	0	6779	21111	350	3
10105	5	6	1611	1611	11	0	6783	21121	288	3
10105	5	6	1409	1431	11	0	6757	21111	350	3
10105	6	1	1210	1521	11	0	6734	21141	350	3
10105	6	1	1208	1211	11	0	6732	21141	350	3
10105	6	2	1509	1511	11	0	6768	21131	350	3
10105	6	2	1208	1211	11	0	6732	21141	350	3
10105	6	3	1305	1311	11	0	6741	21131	175	3
10105	6	3	1308	1311	11	0	6744	21111	350	3
10105	6	4	1212	1521	11	0	6736	21141	288	3
10105	6	4	1308	1311	11	0	6744	21111	350	3
10105	6	5	1301	1221	11	0	6737	21141	175	3
10105	6	5	1209	1221	11	0	6733	21141	350	3
10105	6	6	1309	1511	11	0	6745	21131	288	3
10105	6	6	1209	1221	11	0	6733	21141	350	3
10105	7	1	1410	1431	11	0	6758	21111	350	3
10105	7	1	1107	1611	11	0	6720	21131	350	3
10105	7	2	1409	1431	11	0	6757	21111	350	3
10105	7	2	1109	1611	11	0	6722	21131	350	3
10105	7	3	1104	1611	11	0	6717	21131	175	3
10105	7	3	1107	1611	11	0	6720	21131	350	3
10105	7	4	1305	1311	11	0	6741	21131	175	3
10105	7	4	1607	1611	11	0	6779	21111	350	3
10105	7	5	1403	1431	11	0	6751	21131	175	3
10105	7	5	1208	1211	11	0	6732	21141	350	3
10105	7	6	3101	1511	11	0	6784	21131	175	3
10105	7	6	1509	1511	11	0	6768	21131	350	3
10105	7	7	1404	1431	11	0	6752	21121	175	3
10105	7	7	1410	1431	11	0	6758	21111	350	3
10105	7	8	1305	1311	11	0	6741	21131	175	3
10105	7	8	1607	1611	11	0	6779	21111	350	3
10105	7	9	1411	1631	11	0	6759	21141	288	3
10105	7	9	1208	1211	11	0	6732	21141	350	3
10105	7	10	1411	1631	11	0	6759	21141	288	3
10105	7	10	1109	1611	11	0	6722	21131	350	3
10105	7	11	1610	1631	11	0	6782	21141	288	3
10105	7	11	1609	1631	11	0	6781	21141	350	3
10105	7	12	1102	1431	11	0	6715	21111	288	3
10105	7	12	1311	1311	11	0	6747	21131	350	3
10105	7	13	1102	1431	11	0	6715	21111	288	3
10105	7	13	1507	1511	11	0	6766	21111	350	3
10105	7	14	1511	1511	11	0	6770	21121	288	3
10105	7	14	1107	1611	11	0	6720	21131	350	3
10105	7	15	1201	1311	11	0	6725	21131	288	3
10105	7	15	1509	1511	11	0	6768	21131	350	3
10105	7	16	1511	1511	11	0	6770	21121	288	3
10105	7	16	1609	1631	11	0	6781	21141	350	3
10105	7	17	1611	1611	11	0	6783	21121	288	3
10105	7	17	1208	1211	11	0	6732	21141	350	3
10105	7	18	1312	1221	11	0	6748	21141	288	3
10105	7	18	1311	1311	11	0	6747	21131	350	3
10105	7	19	1312	1221	11	0	6748	21141	288	3
10105	7	19	1107	1611	11	0	6720	21131	350	3
10105	7	20	1309	1511	11	0	6745	21131	288	3
10105	7	20	1409	1431	11	0	6757	21111	350	3
10106	1	1	1509	1511	14	0	6494	21231	550	4
10106	1	1	1311	1311	14	0	6473	21231	550	4
10106	1	2	1311	1311	14	0	6473	21231	550	4
10106	1	2	1209	1221	14	0	6459	21241	550	4
10106	1	3	1308	1311	14	0	6470	21211	550	4
10106	1	3	1509	1511	14	0	6494	21231	550	4
10106	1	4	1509	1511	14	0	6494	21231	550	4
10106	1	4	1212	1521	14	0	6462	21241	453	4
10106	1	5	1210	1521	14	0	6460	21241	550	4
10106	1	5	1212	1521	14	0	6462	21241	453	4
10106	1	6	1208	1211	14	0	6458	21241	550	4
10106	1	6	1207	1511	14	0	6457	21211	385	4
10106	1	7	1507	1511	14	0	6492	21211	550	4
10106	1	7	1301	1221	14	0	6463	21241	385	4
10106	2	1	1107	1611	14	0	6446	21231	550	4
10106	2	1	1609	1631	14	0	6507	21241	550	4
10106	2	2	1409	1431	14	0	6483	21211	550	4
10106	2	2	1410	1431	14	0	6484	21211	550	4
10106	2	3	1607	1611	14	0	6505	21211	550	4
10106	2	3	1107	1611	14	0	6446	21231	550	4
10106	2	4	1607	1611	14	0	6505	21211	550	4
10106	2	4	1102	1431	14	0	6441	21211	453	4
10106	2	5	1410	1431	14	0	6484	21211	550	4
10106	2	5	1402	1611	14	0	6476	21211	453	4
10106	2	6	1410	1431	14	0	6484	21211	550	4
10106	2	6	1404	1431	14	0	6478	21221	385	4
10106	2	7	1409	1431	14	0	6483	21211	550	4
10106	2	7	1104	1611	14	0	6443	21231	385	4
10106	3	1	1410	1431	14	0	6484	21211	550	4
10106	3	1	1607	1611	14	0	6505	21211	550	4
10106	3	2	1410	1431	14	0	6484	21211	550	4
10106	3	2	1107	1611	14	0	6446	21231	550	4
10106	3	3	1409	1431	14	0	6483	21211	550	4
10106	3	3	1109	1611	14	0	6448	21231	550	4
10106	3	4	1107	1611	14	0	6446	21231	550	4
10106	3	4	1602	1611	14	0	6500	21221	453	4
10106	3	5	1607	1611	14	0	6505	21211	550	4
10106	3	5	1102	1431	14	0	6441	21211	453	4
10106	3	6	1109	1611	14	0	6448	21231	550	4
10106	3	6	1103	1631	14	0	6442	21241	385	4
10106	3	7	1609	1631	14	0	6507	21241	550	4
10106	3	7	1103	1631	14	0	6442	21241	385	4
10106	4	1	1509	1511	14	0	6494	21231	550	4
10106	4	1	1308	1311	14	0	6470	21211	550	4
10106	4	2	1208	1211	14	0	6458	21241	550	4
10106	4	2	1209	1221	14	0	6459	21241	550	4
10106	4	3	1509	1511	14	0	6494	21231	550	4
10106	4	3	1308	1311	14	0	6470	21211	550	4
10106	4	4	1210	1521	14	0	6460	21241	550	4
10106	4	4	1511	1511	14	0	6496	21221	453	4
10106	4	5	1208	1211	14	0	6458	21241	550	4
10106	4	5	1511	1511	14	0	6496	21221	453	4
10106	4	6	1210	1521	14	0	6460	21241	550	4
10106	4	6	1305	1311	14	0	6467	21231	385	4
10106	4	7	1209	1221	14	0	6459	21241	550	4
10106	4	7	1305	1311	14	0	6467	21231	385	4
10106	5	1	1609	1631	14	0	6507	21241	550	4
10106	5	1	1409	1431	14	0	6483	21211	550	4
10106	5	2	1609	1631	14	0	6507	21241	550	4
10106	5	2	1607	1611	14	0	6505	21211	550	4
10106	5	3	1107	1611	14	0	6446	21231	550	4
10106	5	3	1607	1611	14	0	6505	21211	550	4
10106	5	4	1609	1631	14	0	6507	21241	550	4
10106	5	4	1402	1611	14	0	6476	21211	453	4
10106	5	5	1609	1631	14	0	6507	21241	550	4
10106	5	5	1610	1631	14	0	6508	21241	453	4
10106	5	6	1109	1611	14	0	6448	21231	550	4
10106	5	6	1403	1431	14	0	6477	21231	385	4
10106	5	7	1409	1431	14	0	6483	21211	550	4
10106	5	7	1404	1431	14	0	6478	21221	385	4
10106	6	1	1210	1521	14	0	6460	21241	550	4
10106	6	1	1208	1211	14	0	6458	21241	550	4
10106	6	2	1209	1221	14	0	6459	21241	550	4
10106	6	2	1308	1311	14	0	6470	21211	550	4
10106	6	3	1507	1511	14	0	6492	21211	550	4
10106	6	3	1311	1311	14	0	6473	21231	550	4
10106	6	4	1308	1311	14	0	6470	21211	550	4
10106	6	4	1511	1511	14	0	6496	21221	453	4
10106	6	5	1308	1311	14	0	6470	21211	550	4
10106	6	5	1510	1511	14	0	6495	21231	453	4
10106	6	6	1308	1311	14	0	6470	21211	550	4
10106	6	6	1502	1521	14	0	6487	21241	385	4
10106	6	7	1308	1311	14	0	6470	21211	550	4
10106	6	7	1502	1521	14	0	6487	21241	385	4
10106	7	1	1607	1611	14	0	6505	21211	550	4
10106	7	1	1308	1311	14	0	6470	21211	550	4
10106	7	2	1311	1311	14	0	6473	21231	550	4
10106	7	2	1607	1611	14	0	6505	21211	550	4
10106	7	3	1509	1511	14	0	6494	21231	550	4
10106	7	3	1607	1611	14	0	6505	21211	550	4
10106	7	4	1507	1511	14	0	6492	21211	550	4
10106	7	4	1211	1511	14	0	6461	21211	453	4
10106	7	5	1208	1211	14	0	6458	21241	550	4
10106	7	5	1610	1631	14	0	6508	21241	453	4
10106	7	6	1409	1431	14	0	6483	21211	550	4
10106	7	6	1403	1431	14	0	6477	21231	385	4
10106	7	7	1509	1511	14	0	6494	21231	550	4
10106	7	7	1502	1521	14	0	6487	21241	385	4
10106	7	8	1311	1311	14	0	6473	21231	550	4
10106	7	8	1507	1511	14	0	6492	21211	550	4
10106	7	9	1210	1521	14	0	6460	21241	550	4
10106	7	9	1410	1431	14	0	6484	21211	550	4
10106	7	10	1410	1431	14	0	6484	21211	550	4
10106	7	10	1509	1511	14	0	6494	21231	550	4
10106	7	11	1107	1611	14	0	6446	21231	550	4
10106	7	11	1202	1311	14	0	6452	21211	453	4
10106	7	12	1208	1211	14	0	6458	21241	550	4
10106	7	12	1111	1431	14	0	6450	21211	453	4
10106	7	13	1308	1311	14	0	6470	21211	550	4
10106	7	13	3101	1511	14	0	6510	21231	385	4
10106	7	14	1507	1511	14	0	6492	21211	550	4
10106	7	14	3101	1511	14	0	6510	21231	385	4
10106	7	15	1609	1631	14	0	6507	21241	550	4
10106	7	15	1209	1221	14	0	6459	21241	550	4
10106	7	16	1509	1511	14	0	6494	21231	550	4
10106	7	16	1209	1221	14	0	6459	21241	550	4
10106	7	17	1607	1611	14	0	6505	21211	550	4
10106	7	17	1107	1611	14	0	6446	21231	550	4
10106	7	18	1509	1511	14	0	6494	21231	550	4
10106	7	18	1611	1611	14	0	6509	21221	453	4
10106	7	19	1607	1611	14	0	6505	21211	550	4
10106	7	19	1312	1221	14	0	6474	21241	453	4
10106	7	20	1607	1611	14	0	6505	21211	550	4
10106	7	20	1305	1311	14	0	6467	21231	385	4
10106	7	21	1609	1631	14	0	6507	21241	550	4
10106	7	21	1404	1431	14	0	6478	21221	385	4
10107	1	1	1208	1211	18	0	857	22241	890	5
10107	1	1	1311	1311	18	0	1562	22231	890	5
10107	1	1	1308	1311	18	0	1421	22211	890	5
10107	1	2	1208	1211	18	0	857	22241	890	5
10107	1	2	1311	1311	18	0	1562	22231	890	5
10107	1	2	1308	1311	18	0	1421	22211	890	5
10107	1	3	1208	1211	18	0	857	22241	890	5
10107	1	3	1310	1331	18	0	1515	22251	890	5
10107	1	3	1210	1521	18	0	951	22241	890	5
10107	1	4	1502	1521	18	0	2220	22241	623	5
10107	1	4	1505	1331	18	0	2361	22251	890	5
10107	1	4	1507	1511	18	0	2455	22211	890	5
10107	1	5	1211	1511	18	0	998	22211	890	5
10107	1	5	1508	1231	18	0	2502	22251	890	5
10107	1	5	1308	1311	18	0	1421	22211	890	5
10107	1	6	1301	1221	18	0	1092	22241	623	5
10107	1	6	1302	1511	18	0	1139	22231	890	5
10107	1	6	1210	1521	18	0	951	22241	890	5
10107	1	7	1511	1511	18	0	2643	22221	890	5
10107	1	7	1509	1511	18	0	2549	22231	890	5
10107	1	7	1308	1311	18	0	1421	22211	890	5
10107	2	1	1409	1431	18	0	2032	22211	890	5
10107	2	1	1110	1621	18	0	434	22251	890	5
10107	2	1	1410	1431	18	0	2079	22211	890	5
10107	2	2	1410	1431	18	0	2079	22211	890	5
10107	2	2	1110	1621	18	0	434	22251	890	5
10107	2	2	1607	1611	18	0	3066	22211	890	5
10107	2	3	1609	1631	18	0	3160	22241	890	5
10107	2	3	1407	1411	18	0	1938	22251	890	5
10107	2	3	1410	1431	18	0	2079	22211	890	5
10107	2	4	1603	1611	18	0	2878	22211	623	5
10107	2	4	1108	1121	18	0	340	22251	890	5
10107	2	4	1410	1431	18	0	2079	22211	890	5
10107	2	5	1402	1611	18	0	1703	22211	890	5
10107	2	5	1608	1621	18	0	3113	22251	890	5
10107	2	5	1410	1431	18	0	2079	22211	890	5
10107	2	6	1404	1431	18	0	1797	22221	623	5
10107	2	6	1108	1121	18	0	340	22251	890	5
10107	2	6	1410	1431	18	0	2079	22211	890	5
10107	2	7	1411	1631	18	0	2126	22241	890	5
10107	2	7	1107	1611	18	0	293	22231	890	5
10107	2	7	1409	1431	18	0	2032	22211	890	5
10107	3	1	1607	1611	18	0	3066	22211	890	5
10107	3	1	1109	1611	18	0	387	22231	890	5
10107	3	1	1410	1431	18	0	2079	22211	890	5
10107	3	2	1607	1611	18	0	3066	22211	890	5
10107	3	2	1110	1621	18	0	434	22251	890	5
10107	3	2	1609	1631	18	0	3160	22241	890	5
10107	3	3	1410	1431	18	0	2079	22211	890	5
10107	3	3	1109	1611	18	0	387	22231	890	5
10107	3	3	1409	1431	18	0	2032	22211	890	5
10107	3	4	1603	1611	18	0	2878	22211	623	5
10107	3	4	1108	1121	18	0	340	22251	890	5
10107	3	4	1410	1431	18	0	2079	22211	890	5
10107	3	5	1602	1611	18	0	2831	22221	890	5
10107	3	5	1110	1621	18	0	434	22251	890	5
10107	3	5	1607	1611	18	0	3066	22211	890	5
10107	3	6	1404	1431	18	0	1797	22221	623	5
10107	3	6	1408	1421	18	0	1985	22251	890	5
10107	3	6	1607	1611	18	0	3066	22211	890	5
10107	3	7	1102	1431	18	0	58	22211	890	5
10107	3	7	1110	1621	18	0	434	22251	890	5
10107	3	7	1609	1631	18	0	3160	22241	890	5
10107	4	1	1209	1221	18	0	904	22241	890	5
10107	4	1	1509	1511	18	0	2549	22231	890	5
10107	4	1	1208	1211	18	0	857	22241	890	5
10107	4	2	1208	1211	18	0	857	22241	890	5
10107	4	2	1311	1311	18	0	1562	22231	890	5
10107	4	2	1308	1311	18	0	1421	22211	890	5
10107	4	3	1209	1221	18	0	904	22241	890	5
10107	4	3	1508	1231	18	0	2502	22251	890	5
10107	4	3	1208	1211	18	0	857	22241	890	5
10107	4	4	1502	1521	18	0	2220	22241	623	5
10107	4	4	1309	1511	18	0	1468	22231	890	5
10107	4	4	1208	1211	18	0	857	22241	890	5
10107	4	5	1212	1521	18	0	1045	22241	890	5
10107	4	5	1311	1311	18	0	1562	22231	890	5
10107	4	5	1210	1521	18	0	951	22241	890	5
10107	4	6	1306	1211	18	0	1327	22241	623	5
10107	4	6	1201	1311	18	0	528	22231	890	5
10107	4	6	1210	1521	18	0	951	22241	890	5
10107	4	7	1511	1511	18	0	2643	22221	890	5
10107	4	7	1311	1311	18	0	1562	22231	890	5
10107	4	7	1208	1211	18	0	857	22241	890	5
10107	5	1	1409	1431	18	0	2032	22211	890	5
10107	5	1	1608	1621	18	0	3113	22251	890	5
10107	5	1	1607	1611	18	0	3066	22211	890	5
10107	5	2	1607	1611	18	0	3066	22211	890	5
10107	5	2	1407	1411	18	0	1938	22251	890	5
10107	5	2	1409	1431	18	0	2032	22211	890	5
10107	5	3	1609	1631	18	0	3160	22241	890	5
10107	5	3	1109	1611	18	0	387	22231	890	5
10107	5	3	1409	1431	18	0	2032	22211	890	5
10107	5	4	1404	1431	18	0	1797	22221	623	5
10107	5	4	1408	1421	18	0	1985	22251	890	5
10107	5	4	1607	1611	18	0	3066	22211	890	5
10107	5	5	1602	1611	18	0	2831	22221	890	5
10107	5	5	1109	1611	18	0	387	22231	890	5
10107	5	5	1607	1611	18	0	3066	22211	890	5
10107	5	6	1404	1431	18	0	1797	22221	623	5
10107	5	6	1108	1121	18	0	340	22251	890	5
10107	5	6	1609	1631	18	0	3160	22241	890	5
10107	5	7	1402	1611	18	0	1703	22211	890	5
10107	5	7	1107	1611	18	0	293	22231	890	5
10107	5	7	1607	1611	18	0	3066	22211	890	5
10107	6	1	1308	1311	18	0	1421	22211	890	5
10107	6	1	1311	1311	18	0	1562	22231	890	5
10107	6	1	1507	1511	18	0	2455	22211	890	5
10107	6	2	1507	1511	18	0	2455	22211	890	5
10107	6	2	1311	1311	18	0	1562	22231	890	5
10107	6	2	1208	1211	18	0	857	22241	890	5
10107	6	3	1210	1521	18	0	951	22241	890	5
10107	6	3	1311	1311	18	0	1562	22231	890	5
10107	6	3	1308	1311	18	0	1421	22211	890	5
10107	6	4	1502	1521	18	0	2220	22241	623	5
10107	6	4	1309	1511	18	0	1468	22231	890	5
10107	6	4	1208	1211	18	0	857	22241	890	5
10107	6	5	1211	1511	18	0	998	22211	890	5
10107	6	5	1508	1231	18	0	2502	22251	890	5
10107	6	5	1507	1511	18	0	2455	22211	890	5
10107	6	6	1306	1211	18	0	1327	22241	623	5
10107	6	6	1505	1331	18	0	2361	22251	890	5
10107	6	6	1208	1211	18	0	857	22241	890	5
10107	6	7	1211	1511	18	0	998	22211	890	5
